X1,X2,Y
83,58,0
23,30,1
48,3,1
60,31,0
39,30,1
86,80,0
9,67,1
5,37,1
54,90,0
2,10,1
66,98,0
17,55,1
69,58,0
47,40,1
72,96,0
17,16,1
61,63,0
92,49,0
17,62,1
6,76,1
94,34,0
34,21,1
42,61,1
77,17,0
11,24,1
23,73,1
76,20,0
10,98,1
10,1,1
54,93,0
13,74,1
44,30,1
7,86,1
89,1,0
17,25,1
80,66,0
18,94,1
72,10,0
14,64,1
27,84,1
19,90,1
11,64,1
98,53,0
7,80,1
68,75,0
64,57,0
82,50,0
53,95,0
6,12,1
90,7,0
83,44,0
95,48,0
90,40,0
54,69,0
6,30,1
21,55,1
91,37,0
2,40,1
3,9,1
92,52,0
27,33,1
27,69,1
75,60,0
98,73,0
5,55,1
76,27,0
3,90,1
46,61,1
41,22,1
68,39,0
75,27,0
16,69,1
35,87,1
78,60,0
56,34,0
74,22,0
8,30,1
27,48,1
62,97,0
50,31,1
53,47,0
16,44,1
30,78,1
65,94,0
86,95,0
57,47,0
4,12,1
80,2,0
81,49,0
26,83,1
88,84,0
65,87,0
38,95,1
22,79,1
73,46,0
38,70,1
10,9,1
11,7,1
19,34,1
